shortlist_rank,doi,doi_url,title,authors,year,venue,type,publisher,volume,issue,pages,article_number,crossref_cited_by,relevance_score,primary_topic,topics,is_review_title,is_dataset_title,has_abstract,screening_decision,screening_reason,matched_title_categories,exact_normalized_title_doi_count,provenance
,10.1109/tie.2025.3585048,https://doi.org/10.1109/tie.2025.3585048,Optimal Trajectory Tracking Control of Four-Wheel Independent Driving Robots With On-Axle Steering,Yue Shen; Yafei Zhang; Wen-Hua Chen; Siwei He; Hui Liu; Hui Wang,2025,IEEE Transactions on Industrial Electronics,journal-article,Institute of Electrical and Electronics Engineers (IEEE),72,12,13841-13851,,4,10,four_wheel_steering,"[""four_wheel_steering""]",False,False,False,metadata_candidate,four_wheel_steering,"[""robot"", ""steer""]",1,"[{""query_id"": ""Q07"", ""query_rank"": 243, ""api_score"": 26.288715, ""raw_file"": ""raw_crossref\\Q07_four_wheel_steering.json"", ""raw_item_index"": 242}]"
,10.20965/ijat.2025.p0521,https://doi.org/10.20965/ijat.2025.p0521,Four-Wheel Independent Steering and Four-Wheel Independent Driving Robot and its Simultaneous Path and Orientation Tracking Control,Kosei Takanezawa; Rintaro Ozaki; Naoyuki Takesue; Junichi Hiruma; Joshua Mikado,2025,International Journal of Automation Technology,journal-article,Fuji Technology Press Ltd.,19,4,521-534,,4,10,four_wheel_steering,"[""four_wheel_steering""]",False,False,True,metadata_candidate,four_wheel_steering,"[""robot"", ""steer""]",1,"[{""query_id"": ""Q07"", ""query_rank"": 11, ""api_score"": 38.567383, ""raw_file"": ""raw_crossref\\Q07_four_wheel_steering.json"", ""raw_item_index"": 10}]"
,10.23919/iccas47443.2019.8971632,https://doi.org/10.23919/iccas47443.2019.8971632,A Concept and Development of a Four Wheeled Reconfigurable Mobile Robot by Parallel Linkage Mechanism and an Influence of a Driving Wheel Sideslip on Grassy Slopes,Nobuhiro Ushimi,2019,"2019 19th International Conference on Control, Automation and Systems (ICCAS)",proceedings-article,IEEE,,,1549-1553,,4,10,four_wheel_steering,"[""four_wheel_steering""]",False,False,False,metadata_candidate,four_wheel_steering,"[""robot"", ""steer""]",1,"[{""query_id"": ""Q07"", ""query_rank"": 363, ""api_score"": 24.845577, ""raw_file"": ""raw_crossref\\Q07_four_wheel_steering.json"", ""raw_item_index"": 362}]"
,10.1109/isitia.2018.8710761,https://doi.org/10.1109/isitia.2018.8710761,Identification of Four Wheel Mobile Robot based on Parametric Modelling,Brian Raafiu; Purwadi Agus Darwito,2018,2018 International Seminar on Intelligent Technology and Its Applications (ISITIA),proceedings-article,IEEE,,,397-401,,4,10,four_wheel_steering,"[""four_wheel_steering""]",False,False,False,metadata_candidate,four_wheel_steering,"[""robot"", ""steer""]",1,"[{""query_id"": ""Q07"", ""query_rank"": 137, ""api_score"": 28.785036, ""raw_file"": ""raw_crossref\\Q07_four_wheel_steering.json"", ""raw_item_index"": 136}]"
,10.3390/s18082710,https://doi.org/10.3390/s18082710,Highly Sensitive p + n Metal Oxide Sensor Array for Low-Concentration Gas Detection,Jianghua Luo; Yishan Jiang; Feng Xiao; Xin Zhao; Zheng Xie,2018,Sensors,journal-article,MDPI AG,18,8,2710,,4,10,embedded_environmental_sensing,"[""embedded_environmental_sensing""]",False,False,True,metadata_candidate,embedded_environmental_sensing,"[""gas"", ""sensor""]",1,"[{""query_id"": ""Q05"", ""query_rank"": 178, ""api_score"": 22.876484, ""raw_file"": ""raw_crossref\\Q05_gas_sensor_calibration.json"", ""raw_item_index"": 177}]"
,10.1109/iciea.2016.7603585,https://doi.org/10.1109/iciea.2016.7603585,Mechanical design of a four-wheel independent drive and steering mobile robot platform,Fei Hua; Guoli Li; Fang Liu; Yongbin Liu,2016,2016 IEEE 11th Conference on Industrial Electronics and Applications (ICIEA),proceedings-article,IEEE,,,235-238,,4,10,four_wheel_steering,"[""four_wheel_steering""]",False,False,False,metadata_candidate,four_wheel_steering,"[""robot"", ""steer""]",1,"[{""query_id"": ""Q07"", ""query_rank"": 4, ""api_score"": 41.675262, ""raw_file"": ""raw_crossref\\Q07_four_wheel_steering.json"", ""raw_item_index"": 3}]"
,10.1109/robio.2010.5723352,https://doi.org/10.1109/robio.2010.5723352,"Proposal for step-up gait of RT-Mover, a four-wheel-type mobile robot for rough terrain with simple leg mechanism",Shuro Nakajima,2010,2010 IEEE International Conference on Robotics and Biomimetics,proceedings-article,IEEE,,,351-356,,4,10,four_wheel_steering,"[""four_wheel_steering""]",False,False,False,metadata_candidate,four_wheel_steering,"[""robot"", ""steer""]",1,"[{""query_id"": ""Q07"", ""query_rank"": 229, ""api_score"": 26.692799, ""raw_file"": ""raw_crossref\\Q07_four_wheel_steering.json"", ""raw_item_index"": 228}]"
,10.1109/iecon.2006.347806,https://doi.org/10.1109/iecon.2006.347806,"Maneuvering Strategies for Four-Wheel Drive, Four-Wheel Steer Mobile Robots Using Curvatures Based on Weingarten-Maps",M. Kursat Yalcin; S. Murat Yesiloglu; Mustafa Dal; Hakan Temeltas,2006,IECON 2006 - 32nd Annual Conference on IEEE Industrial Electronics,proceedings-article,IEEE,,,4148-4152,,4,10,four_wheel_steering,"[""four_wheel_steering""]",False,False,False,metadata_candidate,four_wheel_steering,"[""robot"", ""steer""]",1,"[{""query_id"": ""Q07"", ""query_rank"": 394, ""api_score"": 24.490177, ""raw_file"": ""raw_crossref\\Q07_four_wheel_steering.json"", ""raw_item_index"": 393}]"
,10.1109/tase.2025.3621216,https://doi.org/10.1109/tase.2025.3621216,A Distributed Cooperative Framework of Robust Trajectory Tracking Control for Six-Wheel Independent Driving and Steering Robot,Lelai Zhou; Shengkun Gao; Jiangtao Liu; Chen Zhang; Yibin Li,2025,IEEE Transactions on Automation Science and Engineering,journal-article,Institute of Electrical and Electronics Engineers (IEEE),22,,23366-23378,,3,10,four_wheel_steering,"[""four_wheel_steering""]",False,False,False,metadata_candidate,four_wheel_steering,"[""robot"", ""steer""]",1,"[{""query_id"": ""Q07"", ""query_rank"": 270, ""api_score"": 25.88491, ""raw_file"": ""raw_crossref\\Q07_four_wheel_steering.json"", ""raw_item_index"": 269}]"
,10.1109/iceccc61767.2024.10593852,https://doi.org/10.1109/iceccc61767.2024.10593852,Development and Control of Mobile Manipulator - Four-Wheeled Drive Mobile Robot with a 3-DoF Manipulator,Karon S Kali; M. Lokeshwar Raj; R. Krishna; P. Hema Priya; G. Manavaalan,2024,"2024 International Conference on Electronics, Computing, Communication and Control Technology (ICECCC)",proceedings-article,IEEE,,,1-6,,3,10,four_wheel_steering,"[""four_wheel_steering""]",False,False,False,metadata_candidate,four_wheel_steering,"[""robot"", ""steer""]",1,"[{""query_id"": ""Q09"", ""query_rank"": 28, ""api_score"": 24.675678, ""raw_file"": ""raw_crossref\\Q09_robotic_sampling.json"", ""raw_item_index"": 27}]"
,10.1109/ddcls52934.2021.9455633,https://doi.org/10.1109/ddcls52934.2021.9455633,A Gradient Neural Network for online Solving the Time-varying Inverse Kinematics Problem of Four-wheel Mobile Robotic Arm,Yanpeng Zhou; Keping Liu; Chunxu Li; Gang Wang; Yongbai Liu; Zhongbo Sun,2021,2021 IEEE 10th Data Driven Control and Learning Systems Conference (DDCLS),proceedings-article,IEEE,,,391-396,,3,10,four_wheel_steering,"[""four_wheel_steering""]",False,False,False,metadata_candidate,four_wheel_steering,"[""robot"", ""steer""]",1,"[{""query_id"": ""Q07"", ""query_rank"": 298, ""api_score"": 25.543766, ""raw_file"": ""raw_crossref\\Q07_four_wheel_steering.json"", ""raw_item_index"": 297}]"
,10.1109/med.2013.6608783,https://doi.org/10.1109/med.2013.6608783,Theoretical approach of model based fault diagnosis for a 4-wheel skid steering mobile robot,George K. Fourlas,2013,21st Mediterranean Conference on Control and Automation,proceedings-article,IEEE,,,597-602,,3,10,four_wheel_steering,"[""four_wheel_steering""]",False,False,False,metadata_candidate,four_wheel_steering,"[""robot"", ""steer""]",1,"[{""query_id"": ""Q07"", ""query_rank"": 72, ""api_score"": 31.246521, ""raw_file"": ""raw_crossref\\Q07_four_wheel_steering.json"", ""raw_item_index"": 71}]"
,10.1007/s11071-025-11127-x,https://doi.org/10.1007/s11071-025-11127-x,Adaptive global predefined-time performance constraints control of four-wheel independently drive skid-steering mobile robots with wheel dynamics,Meng Ge; Binrui Wang; Licong Guan; Kun Zhou,2025,Nonlinear Dynamics,journal-article,Springer Science and Business Media LLC,113,14,18361-18379,,2,10,four_wheel_steering,"[""four_wheel_steering""]",False,False,False,metadata_candidate,four_wheel_steering,"[""robot"", ""steer""]",1,"[{""query_id"": ""Q07"", ""query_rank"": 100, ""api_score"": 29.896797, ""raw_file"": ""raw_crossref\\Q07_four_wheel_steering.json"", ""raw_item_index"": 99}]"
,10.1109/mipro60963.2024.10569207,https://doi.org/10.1109/mipro60963.2024.10569207,Application of a Time-Varying Linear Quadratic Controller for Trajectory Tracking of a Four-Wheel Mobile Robot with Independent Steering and Drive,B. Ćaran; N. Škifić; V. Milić; M. Švaco,2024,2024 47th MIPRO ICT and Electronics Convention (MIPRO),proceedings-article,IEEE,,,1800-1807,,2,10,four_wheel_steering,"[""four_wheel_steering""]",False,False,False,metadata_candidate,four_wheel_steering,"[""robot"", ""steer""]",1,"[{""query_id"": ""Q07"", ""query_rank"": 10, ""api_score"": 38.82209, ""raw_file"": ""raw_crossref\\Q07_four_wheel_steering.json"", ""raw_item_index"": 9}]"
,10.1115/1.4066513,https://doi.org/10.1115/1.4066513,Rapid Airborne Gas-Plume Mapping and Source Localization With Feedforward Gas-Sensor Dynamics Compensation,Kyle C. Hoffman; Jacob M. Anderson; Kam K. Leang,2024,ASME Letters in Dynamic Systems and Control,journal-article,ASME International,4,4,,041002,2,10,gas_olfaction_mapping,"[""gas_olfaction_mapping""]",False,False,True,metadata_candidate,gas_olfaction_mapping,"[""sensor"", ""nav""]",1,"[{""query_id"": ""Q03"", ""query_rank"": 15, ""api_score"": 32.012512, ""raw_file"": ""raw_crossref\\Q03_robotic_gas_mapping.json"", ""raw_item_index"": 14}]"
,10.7736/jkspe.024.106,https://doi.org/10.7736/jkspe.024.106,Research on Four-wheel Steering-based Mobile Robot Driving Control Strategy to Implement Autonomous Driving Service,Do Hyun Kim; Chang Won Kim,2024,Journal of the Korean Society for Precision Engineering,journal-article,Korean Society of Precision Engineering,41,12,1009-1015,,2,10,four_wheel_steering,"[""four_wheel_steering""]",False,False,False,metadata_candidate,four_wheel_steering,"[""robot"", ""steer""]",1,"[{""query_id"": ""Q07"", ""query_rank"": 131, ""api_score"": 28.872017, ""raw_file"": ""raw_crossref\\Q07_four_wheel_steering.json"", ""raw_item_index"": 130}]"
,10.1109/iccais59597.2023.10382341,https://doi.org/10.1109/iccais59597.2023.10382341,Dynamic Surface Control Tracking Algorithm for Four-wheel Differential Drive Mobile Robot,Dinh Thi Hang; Ngo Manh Tien; Hiep Do Quang; Ha Thi Kim Duyen; Phan Xuan Minh,2023,"2023 12th International Conference on Control, Automation and Information Sciences (ICCAIS)",proceedings-article,IEEE,,,5-10,,2,10,four_wheel_steering,"[""four_wheel_steering""]",False,False,False,metadata_candidate,four_wheel_steering,"[""robot"", ""steer""]",1,"[{""query_id"": ""Q07"", ""query_rank"": 422, ""api_score"": 24.301912, ""raw_file"": ""raw_crossref\\Q07_four_wheel_steering.json"", ""raw_item_index"": 421}]"
,10.23919/iccas55662.2022.10003946,https://doi.org/10.23919/iccas55662.2022.10003946,IMU-based Online Kinematic Model Parameter Estimation for Four-Wheeled Skid-Steering Mobile Robot Desired Motion Tracking on Different Terrains,Kai Li; Le Bao; Changsoo Han; Kyoosik Shin; Wansoo Kim,2022,"2022 22nd International Conference on Control, Automation and Systems (ICCAS)",proceedings-article,IEEE,,,950-954,,2,10,four_wheel_steering,"[""four_wheel_steering""]",False,False,False,metadata_candidate,four_wheel_steering,"[""robot"", ""steer""]",1,"[{""query_id"": ""Q07"", ""query_rank"": 392, ""api_score"": 24.522686, ""raw_file"": ""raw_crossref\\Q07_four_wheel_steering.json"", ""raw_item_index"": 391}]"
,10.1109/tencon50793.2020.9293858,https://doi.org/10.1109/tencon50793.2020.9293858,Asymmetric Barrier Function-based Adaptive Control of a Four-Wheel-Steering Mobile Robot,Yuanlong Xie; Liquan Jiang; Jie Meng; Shuting Wang; Shiqi Zheng; Hao Wu,2020,2020 IEEE REGION 10 CONFERENCE (TENCON),proceedings-article,IEEE,,,200-205,,2,10,four_wheel_steering,"[""four_wheel_steering""]",False,False,False,metadata_candidate,four_wheel_steering,"[""robot"", ""steer""]",1,"[{""query_id"": ""Q07"", ""query_rank"": 23, ""api_score"": 35.17669, ""raw_file"": ""raw_crossref\\Q07_four_wheel_steering.json"", ""raw_item_index"": 22}]"
,10.1109/rctfc.2016.7893412,https://doi.org/10.1109/rctfc.2016.7893412,Dynamic modelling of four wheel skid mobile robot by unified bond graph approach,Saumya Ranjan Sahoo; Shital S. Chiddarwar,2016,2016 International Conference on Robotics: Current Trends and Future Challenges (RCTFC),proceedings-article,IEEE,,,1-6,,2,10,four_wheel_steering,"[""four_wheel_steering""]",False,False,False,metadata_candidate,four_wheel_steering,"[""robot"", ""steer""]",1,"[{""query_id"": ""Q07"", ""query_rank"": 212, ""api_score"": 27.053623, ""raw_file"": ""raw_crossref\\Q07_four_wheel_steering.json"", ""raw_item_index"": 211}]"
,10.14313/jamris_4-2014/34,https://doi.org/10.14313/jamris_4-2014/34,Neural Network Identifier of a Four-wheeled Mobile Robot Subject to Wheel Slip,Zenon Hendzel; Maciej Trojnacki,2014,"Journal of Automation, Mobile Robotics and Intelligent Systems",journal-article,PIAP - Industrial Research Institute for Automation and Measurements,,,24-30,,2,10,four_wheel_steering,"[""four_wheel_steering""]",False,False,False,metadata_candidate,four_wheel_steering,"[""robot"", ""steer""]",1,"[{""query_id"": ""Q07"", ""query_rank"": 122, ""api_score"": 29.206093, ""raw_file"": ""raw_crossref\\Q07_four_wheel_steering.json"", ""raw_item_index"": 121}]"
,10.1109/iemdc.2007.383699,https://doi.org/10.1109/iemdc.2007.383699,"Mechanical and Electrical Design of a Four-Wheel-Drive, Four-Wheel-Steer Mobile Manipulator with PA-10 Arm",Bilge GUROL; Mustafa Dal; S. Murat Yesiloglu; Hakan Temeltas,2007,2007 IEEE International Electric Machines & Drives Conference,proceedings-article,IEEE,,,1777-1782,,2,10,four_wheel_steering,"[""four_wheel_steering""]",False,False,False,metadata_candidate,four_wheel_steering,"[""robot"", ""steer""]",1,"[{""query_id"": ""Q07"", ""query_rank"": 357, ""api_score"": 24.925657, ""raw_file"": ""raw_crossref\\Q07_four_wheel_steering.json"", ""raw_item_index"": 356}]"
,10.1109/cac67268.2025.11487174,https://doi.org/10.1109/cac67268.2025.11487174,Universal Multi-Mode Kinematic Controller for Four-Wheel Independent Steering and Driving Mobile Robots,Yizhi Wang; Degang Xu; Yongfang Xie,2025,2025 China Automation Congress (CAC),proceedings-article,IEEE,,,4491-4496,,1,10,four_wheel_steering,"[""four_wheel_steering""]",False,False,False,metadata_candidate,four_wheel_steering,"[""robot"", ""steer""]",1,"[{""query_id"": ""Q07"", ""query_rank"": 12, ""api_score"": 38.092674, ""raw_file"": ""raw_crossref\\Q07_four_wheel_steering.json"", ""raw_item_index"": 11}]"
,10.1109/cacre66141.2025.11119562,https://doi.org/10.1109/cacre66141.2025.11119562,Modeling and Parameters Identification of Four- Wheel Mobile Robot with Independent Steering and Drive,Ruitong Liu; Yunhao Jia; Yuzhe Wu; Pengju Wang; Hanliu Wang; Kenji Hashimoto,2025,"2025 10th International Conference on Automation, Control and Robotics Engineering (CACRE)",proceedings-article,IEEE,,,288-294,,1,10,four_wheel_steering,"[""four_wheel_steering""]",False,False,False,metadata_candidate,four_wheel_steering,"[""robot"", ""steer""]",1,"[{""query_id"": ""Q07"", ""query_rank"": 9, ""api_score"": 38.8464, ""raw_file"": ""raw_crossref\\Q07_four_wheel_steering.json"", ""raw_item_index"": 8}]"
,10.1109/cera59325.2023.10455377,https://doi.org/10.1109/cera59325.2023.10455377,Development and Control of a Four-Wheel Drive Holonomic Mobile Robot,G. Manavaalan; S. Karon; R. Krishna; M. Lokeshwar Raj; P. Hema Priya; M. Felix Orlando,2023,2023 7th International Conference on Computer Applications in Electrical Engineering-Recent Advances (CERA),proceedings-article,IEEE,,,1-6,,1,10,four_wheel_steering,"[""four_wheel_steering""]",False,False,False,metadata_candidate,four_wheel_steering,"[""robot"", ""steer""]",1,"[{""query_id"": ""Q07"", ""query_rank"": 418, ""api_score"": 24.338919, ""raw_file"": ""raw_crossref\\Q07_four_wheel_steering.json"", ""raw_item_index"": 417}]"
,10.1109/icarce59252.2024.10492540,https://doi.org/10.1109/icarce59252.2024.10492540,Suspension Performance Analysis of an All-Wheel Steering Mobile Robot,Hongbo Lv; Yonghui Zhu; Jingbo Wang; Hao Zhang; Yemo Pan,2023,"2023 2nd International Conference on Automation, Robotics and Computer Engineering (ICARCE)",proceedings-article,IEEE,,,1-5,,1,10,four_wheel_steering,"[""four_wheel_steering""]",False,False,False,metadata_candidate,four_wheel_steering,"[""robot"", ""steer""]",1,"[{""query_id"": ""Q07"", ""query_rank"": 130, ""api_score"": 28.89422, ""raw_file"": ""raw_crossref\\Q07_four_wheel_steering.json"", ""raw_item_index"": 129}]"
,10.5302/j.icros.2023.23.0077,https://doi.org/10.5302/j.icros.2023.23.0077,Design of Front-back Symmetric Four-wheel-steering Mobile Robot,Songeun Park; Jungwook Suh,2023,"Journal of Institute of Control, Robotics and Systems",journal-article,"Institute of Control, Robotics and Systems",29,9,748-754,,1,10,four_wheel_steering,"[""four_wheel_steering""]",False,False,False,metadata_candidate,four_wheel_steering,"[""robot"", ""steer""]",1,"[{""query_id"": ""Q07"", ""query_rank"": 49, ""api_score"": 32.703705, ""raw_file"": ""raw_crossref\\Q07_four_wheel_steering.json"", ""raw_item_index"": 48}]"
,10.1115/imece2022-96192,https://doi.org/10.1115/imece2022-96192,Four-Wheel Independent Steering Swerve Drive for First Robotics Competition,Benjamin DeNoma; Michael Kendall; Nicholas Poulos; Janet Dong; Ray Frank,2022,"Volume 5: Dynamics, Vibration, and Control",proceedings-article,American Society of Mechanical Engineers,,,,V005T07A076,1,10,four_wheel_steering,"[""four_wheel_steering""]",False,False,True,metadata_candidate,four_wheel_steering,"[""robot"", ""steer""]",1,"[{""query_id"": ""Q07"", ""query_rank"": 60, ""api_score"": 31.82928, ""raw_file"": ""raw_crossref\\Q07_four_wheel_steering.json"", ""raw_item_index"": 59}]"
,10.1109/summa53307.2021.9632085,https://doi.org/10.1109/summa53307.2021.9632085,Near Real Time Simulation of an Independent Steering Independent Driving Mobile Robot,Indrazno Siradjuddin; Leonardo Kamajaya; Sapto Wibowo; Arta Ainur Rofiq; Gillang Al Azhar; Muhammad Khairuddin,2021,"2021 3rd International Conference on Control Systems, Mathematical Modeling, Automation and Energy Efficiency (SUMMA)",proceedings-article,IEEE,,,62-68,,1,10,four_wheel_steering,"[""four_wheel_steering""]",False,False,False,metadata_candidate,four_wheel_steering,"[""robot"", ""steer""]",1,"[{""query_id"": ""Q07"", ""query_rank"": 207, ""api_score"": 27.271416, ""raw_file"": ""raw_crossref\\Q07_four_wheel_steering.json"", ""raw_item_index"": 206}]"
,10.1109/issi.2018.8538155,https://doi.org/10.1109/issi.2018.8538155,Design of Trajectory Tracking Controller for Four Wheel Mobile Robot Based on Lyapunov Direct Method,Meisu Zhong; Hong Zhao; Yongsheng Yang; Jun Zhang,2018,2018 International Symposium in Sensing and Instrumentation in IoT Era (ISSI),proceedings-article,IEEE,,,1-6,,1,10,four_wheel_steering,"[""four_wheel_steering""]",False,False,False,metadata_candidate,four_wheel_steering,"[""robot"", ""steer""]",1,"[{""query_id"": ""Q07"", ""query_rank"": 275, ""api_score"": 25.765696, ""raw_file"": ""raw_crossref\\Q07_four_wheel_steering.json"", ""raw_item_index"": 274}]"
,10.12983/ijsrk-2016-p0040-0055,https://doi.org/10.12983/ijsrk-2016-p0040-0055,Dynamic Modeling and Simulation of 4-Wheel Skid-Steering Mobile Robot with Considering Tires Longitudinal and Lateral Slips,Hashem Zamanian; Farid Javidpour,2016,International Journal of Scientific Research in Knowledge,journal-article,IJSR Publications,4,2,40-55,,1,10,four_wheel_steering,"[""four_wheel_steering""]",False,False,False,metadata_candidate,four_wheel_steering,"[""robot"", ""steer""]",1,"[{""query_id"": ""Q07"", ""query_rank"": 175, ""api_score"": 27.924335, ""raw_file"": ""raw_crossref\\Q07_four_wheel_steering.json"", ""raw_item_index"": 174}]"
