acquisition_design,ADC_reference_V,ADC_bits,temperature_C,pH,ideal_electrode_slope_V_per_pH,gain,conditioned_voltage_V,ideal_ADC_code_coordinate,ADC_step_pH,within_ADC_rails
Mega_5V_10bit_baseline,5.0,10,5.0,0.0,0.055190921064520254,3,3.659009342354925,749.3651133142887,0.029490433123301865,True
Mega_5V_10bit_baseline,5.0,10,5.0,0.1,0.055190921064520254,3,3.6424520660355695,745.9741831240847,0.029490433123301865,True
Mega_5V_10bit_baseline,5.0,10,5.0,0.2,0.055190921064520254,3,3.625894789716213,742.5832529338804,0.029490433123301865,True
Mega_5V_10bit_baseline,5.0,10,5.0,0.30000000000000004,0.055190921064520254,3,3.609337513396857,739.1923227436763,0.029490433123301865,True
Mega_5V_10bit_baseline,5.0,10,5.0,0.4,0.055190921064520254,3,3.592780237077501,735.8013925534722,0.029490433123301865,True
Mega_5V_10bit_baseline,5.0,10,5.0,0.5,0.055190921064520254,3,3.576222960758145,732.4104623632682,0.029490433123301865,True
Mega_5V_10bit_baseline,5.0,10,5.0,0.6000000000000001,0.055190921064520254,3,3.559665684438789,729.019532173064,0.029490433123301865,True
Mega_5V_10bit_baseline,5.0,10,5.0,0.7000000000000001,0.055190921064520254,3,3.5431084081194326,725.6286019828598,0.029490433123301865,True
Mega_5V_10bit_baseline,5.0,10,5.0,0.8,0.055190921064520254,3,3.526551131800077,722.2376717926558,0.029490433123301865,True
Mega_5V_10bit_baseline,5.0,10,5.0,0.9,0.055190921064520254,3,3.5099938554807206,718.8467416024516,0.029490433123301865,True
Mega_5V_10bit_baseline,5.0,10,5.0,1.0,0.055190921064520254,3,3.4934365791613646,715.4558114122475,0.029490433123301865,True
Mega_5V_10bit_baseline,5.0,10,5.0,1.1,0.055190921064520254,3,3.4768793028420086,712.0648812220434,0.029490433123301865,True
Mega_5V_10bit_baseline,5.0,10,5.0,1.2000000000000002,0.055190921064520254,3,3.460322026522652,708.6739510318391,0.029490433123301865,True
Mega_5V_10bit_baseline,5.0,10,5.0,1.3,0.055190921064520254,3,3.4437647502032966,705.2830208416351,0.029490433123301865,True
Mega_5V_10bit_baseline,5.0,10,5.0,1.4000000000000001,0.055190921064520254,3,3.42720747388394,701.892090651431,0.029490433123301865,True
Mega_5V_10bit_baseline,5.0,10,5.0,1.5,0.055190921064520254,3,3.410650197564584,698.5011604612268,0.029490433123301865,True
Mega_5V_10bit_baseline,5.0,10,5.0,1.6,0.055190921064520254,3,3.394092921245228,695.1102302710227,0.029490433123301865,True
Mega_5V_10bit_baseline,5.0,10,5.0,1.7000000000000002,0.055190921064520254,3,3.3775356449258718,691.7193000808186,0.029490433123301865,True
Mega_5V_10bit_baseline,5.0,10,5.0,1.8,0.055190921064520254,3,3.360978368606516,688.3283698906146,0.029490433123301865,True
